"player","starter","MP","FG","FGA","FG_pct","3P","3PA","3P_pct","FT","FTA","FT_pct","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","plus_minus","game","team"
"Kemba Walker",TRUE,"35:26",6,13,0.462,1,3,0.333,11,13,0.846,1,5,6,4,0,0,4,1,24,-11,"2017-10-18_CHO_at_DET","CHO"
"Dwight Howard",TRUE,"31:27",5,9,0.556,0,0,NA,0,2,0,1,14,15,1,1,2,3,2,10,-3,"2017-10-18_CHO_at_DET","CHO"
"Jeremy Lamb",TRUE,"28:21",4,10,0.4,0,3,0,7,8,0.875,0,4,4,2,1,0,2,2,15,-10,"2017-10-18_CHO_at_DET","CHO"
"Marvin Williams",TRUE,"26:39",2,5,0.4,2,4,0.5,1,2,0.5,0,2,2,0,0,0,0,2,7,-10,"2017-10-18_CHO_at_DET","CHO"
"Dwayne Bacon",TRUE,"20:27",3,6,0.5,2,4,0.5,0,0,NA,0,2,2,2,0,0,2,1,8,-15,"2017-10-18_CHO_at_DET","CHO"
"Cody Zeller",FALSE,"23:24",3,5,0.6,0,0,NA,2,2,1,1,8,9,0,0,1,2,2,8,-4,"2017-10-18_CHO_at_DET","CHO"
"Frank Kaminsky",FALSE,"23:12",1,9,0.111,0,5,0,2,2,1,0,4,4,2,0,0,0,0,4,-6,"2017-10-18_CHO_at_DET","CHO"
"Malik Monk",FALSE,"21:28",1,9,0.111,1,6,0.167,0,0,NA,0,0,0,1,0,0,3,1,3,-8,"2017-10-18_CHO_at_DET","CHO"
"Treveon Graham",FALSE,"17:02",2,4,0.5,1,2,0.5,0,0,NA,0,2,2,3,0,0,0,1,5,8,"2017-10-18_CHO_at_DET","CHO"
"Julyan Stone",FALSE,"12:34",2,3,0.667,2,3,0.667,0,0,NA,0,3,3,1,2,0,1,3,6,-1,"2017-10-18_CHO_at_DET","CHO"
"Michael Carter-Williams",FALSE,"0:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2017-10-18_CHO_at_DET","CHO"
"Michael Kidd-Gilchrist",FALSE,"Not With Team",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2017-10-18_CHO_at_DET","CHO"
"Johnny O'Bryant",FALSE,"0:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2017-10-18_CHO_at_DET","CHO"
"Jeremy Lamb",TRUE,"38:17",7,17,0.412,0,5,0,1,1,1,2,3,5,2,0,1,2,4,15,26,"2017-10-20_ATL_at_CHO","CHO"
"Kemba Walker",TRUE,"38:01",6,13,0.462,4,8,0.5,10,12,0.833,1,3,4,9,1,0,4,2,26,35,"2017-10-20_ATL_at_CHO","CHO"
"Dwight Howard",TRUE,"33:01",8,12,0.667,0,0,NA,4,8,0.5,4,11,15,0,0,1,6,5,20,34,"2017-10-20_ATL_at_CHO","CHO"
"Dwayne Bacon",TRUE,"19:15",2,4,0.5,2,3,0.667,0,0,NA,0,11,11,0,1,0,2,1,6,13,"2017-10-20_ATL_at_CHO","CHO"
"Marvin Williams",TRUE,"15:48",0,6,0,0,4,0,0,0,NA,1,2,3,1,1,1,1,0,0,2,"2017-10-20_ATL_at_CHO","CHO"
"Frank Kaminsky",FALSE,"33:05",7,14,0.5,2,5,0.4,5,5,1,0,6,6,3,1,0,2,1,21,18,"2017-10-20_ATL_at_CHO","CHO"
"Treveon Graham",FALSE,"24:09",3,6,0.5,1,4,0.25,2,2,1,1,1,2,0,0,0,0,1,9,5,"2017-10-20_ATL_at_CHO","CHO"
"Malik Monk",FALSE,"18:36",2,7,0.286,2,5,0.4,0,0,NA,0,3,3,0,0,0,3,3,6,-13,"2017-10-20_ATL_at_CHO","CHO"
"Johnny O'Bryant",FALSE,"14:06",2,6,0.333,0,1,0,2,2,1,3,3,6,1,1,1,0,1,6,-18,"2017-10-20_ATL_at_CHO","CHO"
"Julyan Stone",FALSE,"5:42",0,1,0,0,1,0,0,0,NA,0,2,2,1,0,0,1,0,0,-12,"2017-10-20_ATL_at_CHO","CHO"
"Michael Carter-Williams",FALSE,"0:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2017-10-20_ATL_at_CHO","CHO"
"Michael Kidd-Gilchrist",FALSE,"Not With Team",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2017-10-20_ATL_at_CHO","CHO"
"Cody Zeller",FALSE,"0:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2017-10-20_ATL_at_CHO","CHO"
"Kemba Walker",TRUE,"34:06",6,15,0.4,1,6,0.167,2,2,1,0,2,2,6,1,0,3,0,15,3,"2017-10-23_CHO_at_MIL","CHO"
"Dwight Howard",TRUE,"34:06",4,6,0.667,0,0,NA,0,9,0,7,15,22,1,0,4,2,4,8,3,"2017-10-23_CHO_at_MIL","CHO"
"Jeremy Lamb",TRUE,"33:48",5,17,0.294,1,5,0.2,6,6,1,1,8,9,1,0,0,4,2,17,-18,"2017-10-23_CHO_at_MIL","CHO"
"Marvin Williams",TRUE,"28:00",3,10,0.3,2,5,0.4,1,3,0.333,0,0,0,1,2,0,1,3,9,0,"2017-10-23_CHO_at_MIL","CHO"
"Dwayne Bacon",TRUE,"24:23",2,6,0.333,0,3,0,1,2,0.5,0,4,4,2,0,0,0,3,5,6,"2017-10-23_CHO_at_MIL","CHO"
"Frank Kaminsky",FALSE,"33:41",6,8,0.75,3,4,0.75,3,4,0.75,0,5,5,2,0,0,2,2,18,-8,"2017-10-23_CHO_at_MIL","CHO"
"Treveon Graham",FALSE,"20:00",2,3,0.667,0,0,NA,0,2,0,0,1,1,3,0,0,0,5,4,-9,"2017-10-23_CHO_at_MIL","CHO"
"Malik Monk",FALSE,"18:02",1,6,0.167,0,3,0,2,2,1,0,1,1,1,0,0,1,0,4,-10,"2017-10-23_CHO_at_MIL","CHO"
"Johnny O'Bryant",FALSE,"13:54",4,7,0.571,0,0,NA,6,6,1,2,2,4,0,0,1,1,2,14,-12,"2017-10-23_CHO_at_MIL","CHO"
"Mangok Mathiang",FALSE,"0:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2017-10-23_CHO_at_MIL","CHO"
"Marcus Paige",FALSE,"0:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2017-10-23_CHO_at_MIL","CHO"
"Michael Kidd-Gilchrist",FALSE,"0:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2017-10-23_CHO_at_MIL","CHO"
"Cody Zeller",FALSE,"0:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2017-10-23_CHO_at_MIL","CHO"
"Kemba Walker",TRUE,"32:21",4,9,0.444,2,4,0.5,9,9,1,0,4,4,5,0,0,1,0,19,26,"2017-10-25_DEN_at_CHO","CHO"
"Jeremy Lamb",TRUE,"29:18",4,7,0.571,3,5,0.6,5,6,0.833,0,2,2,4,1,1,1,1,16,20,"2017-10-25_DEN_at_CHO","CHO"
"Dwight Howard",TRUE,"26:46",4,7,0.571,0,0,NA,7,11,0.636,5,15,20,0,0,2,7,4,15,15,"2017-10-25_DEN_at_CHO","CHO"
"Marvin Williams",TRUE,"21:18",4,6,0.667,1,3,0.333,0,0,NA,2,2,4,0,2,0,1,2,9,12,"2017-10-25_DEN_at_CHO","CHO"
"Michael Kidd-Gilchrist",TRUE,"10:37",1,6,0.167,0,1,0,0,0,NA,0,0,0,0,0,0,0,0,2,-2,"2017-10-25_DEN_at_CHO","CHO"
"Frank Kaminsky",FALSE,"27:59",9,15,0.6,2,5,0.4,0,0,NA,1,3,4,3,0,1,1,3,20,18,"2017-10-25_DEN_at_CHO","CHO"
"Dwayne Bacon",FALSE,"25:05",2,4,0.5,1,1,1,0,0,NA,0,4,4,2,0,1,0,2,5,4,"2017-10-25_DEN_at_CHO","CHO"
"Malik Monk",FALSE,"25:02",7,14,0.5,3,9,0.333,0,0,NA,0,2,2,2,2,0,1,2,17,13,"2017-10-25_DEN_at_CHO","CHO"
"Johnny O'Bryant",FALSE,"19:33",3,7,0.429,1,3,0.333,0,0,NA,0,3,3,1,0,0,2,1,7,-2,"2017-10-25_DEN_at_CHO","CHO"
"Treveon Graham",FALSE,"15:38",0,2,0,0,0,NA,0,0,NA,1,2,3,0,0,0,0,1,0,-7,"2017-10-25_DEN_at_CHO","CHO"
"Mangok Mathiang",FALSE,"3:28",0,2,0,0,0,NA,0,0,NA,1,1,2,0,0,0,0,0,0,-5,"2017-10-25_DEN_at_CHO","CHO"
"Marcus Paige",FALSE,"2:55",0,2,0,0,0,NA,0,0,NA,0,2,2,0,0,0,0,0,0,-7,"2017-10-25_DEN_at_CHO","CHO"
